ID;SMILES;Screening;Enzyme activity (%);pIC50;pEC50;pCC50;Crystal structure;;;;
QHM-0001060;CC(NC1=CC=C(C#CC2=CC([N+]([O-])=O)=C(N)C(N)=C2)C=C1)=O;Enzymatic;;4,148741651;ND;ND;;;;;
QHM-0001059;NC1=CC=C(C#CC2=CC=CC(N)=C2)C=C1;Enzymatic;60,3;NA;NA;NA;;;;;
QHM-0001015;C1=CC(C#CC2=CC=C3C(=C2)C(F)=NN3)=CC=C1NC(C)=O;Enzymatic;;4,769551079;ND;ND;Y;;;;
QHM-0001014;C1=CC(C#CC2=CC=C3C(=C2)C=NN3)=CC=C1NC(C)=O;Enzymatic;;5;ND;ND;Y;;;;
QHM-0001013;C1=CC(C#CC2=CC=C3C(=C2)N=CN3)=CC=C1NC(C)=O;Enzymatic;;4,602059991;ND;ND;;;;;
QHM-0001012;C1=CC(C#CC2=CC=C(N)C(N)=C2)=CC=C1NC(C)=O;Enzymatic;;5,301029996;ND;ND;Y;;;;
QHM-0000945;NC1=CC(C#CC2=CC=CC=C2C(N)=O)=CC=C1;Enzymatic;91,8;NA;NA;NA;;;;;
QHM-0000944;NC1=CC=C(C#CC2=CC=C(NC(C)=O)C=C2)C=C1;Enzymatic;;4,978810701;ND;ND;Y;;;;
QHM-0000931;O=C(OC)NC1=CC=C(C#CC2=CC=CC=C2)C=C1;Enzymatic;30;NA;NA;NA;;;;;
QHM-0000373;CS(=O)(=O)NC1=CC=CC(C#CC2=CC=CC([N+]([O-])=O)=C2)=C1;Enzymatic;82,7;NA;NA;NA;;;;;
QHM-0000372;NC1=CC=CC(C#CC2=CC=CC([N+]([O-])=O)=C2)=C1;Enzymatic;93,3;NA;NA;NA;;;;;
QHM-0000371;CC(=O)NC1=CC=C(C#CC2=CC(NS(C)(=O)=O)=CC=C2)C=C1;Enzymatic;90,7;NA;NA;NA;;;;;
QHM-0000370;CC(=O)NC1=CC=C(C#CC2=CC(N)=CC=C2)C=C1;Enzymatic;;5,721246399;1,7;ND;Y;;;;
QHM-0001077;CC(NC1=CC=C(C#CC2=CC(N)=C(N)C(N)=C2)C=C1)=O;Enzymatic;;3,982966661;ND;ND;;;;;
QHM-0000892;[O-][N+](=O)C1=CC=CC(C(=O)NCCC2=CNC3=C2C=CC=C3)=C1;Enzymatic;53;NA;NA;NA;;;;;
QHM-0000891;CS(=O)(=O)NC1=CC=CC(C(=O)NCCC2=CC=CC=C2)=C1;Enzymatic;129;NA;NA;NA;;;;;
QHM-0000890;NC1=CC(C(=O)NCC2=CC=C(Br)C=C2)=CC=C1;Enzymatic;125;NA;NA;NA;;;;;
QHM-0000889;NCC1=CC=C(C#N)C=C1;Enzymatic;115;NA;NA;NA;;;;;
QHM-0000886;CNC(=O)C1=CC(NS(C)(=O)=O)=CC=C1;Enzymatic;110;NA;NA;NA;;;;;
QHM-0000884;CS(=O)(=O)NC1=CC=CC(C(=O)NCC2CCCCC2)=C1;Enzymatic;88;NA;NA;NA;;;;;
QHM-0000883;[O-][N+](=O)C1=CC=CC(C(=O)C2C=NC3=C2C=CC=C3)=C1;Enzymatic;135;NA;NA;NA;;;;;
QHM-0000880;F[C@H]1CCN(C(=O)NC2=CC3=NC(C4=CC=C(F)C(F)=C4)=CN3C=N2)C1;Enzymatic;102;NA;NA;NA;;;;;
QHM-0000850;COC(=O)C1=CC=C([N+]([O-])=O)C=C1CBr;Enzymatic;125;NA;NA;NA;;;;;
QHM-0000836;CC1=CC2=NC(C3=CC=C(F)C(F)=C3)=CN2C(C)=C1;Enzymatic;129;NA;NA;NA;;;;;
QHM-0000828;CC1=CN2C(=NC(C3=CC=C(F)C(F)=C3)=C2CO)C=C1;Enzymatic;91;NA;NA;NA;;;;;
QHM-0000808;CC1=CC=C(C2=NNC3=C2C=CC=C3)C=C1;Enzymatic;142;NA;NA;NA;;;;;
QHM-0000805;NC1=CC=C2C(=O)N(CC3=CC=C(Br)C=C3)CC2=C1;Enzymatic;129;NA;NA;NA;;;;;
QHM-0000801;C1=NN(C2=CC=CC=N2)C2=CC=CC=C12;Enzymatic;115;NA;NA;NA;;;;;
QHM-0000798;IC1=NNC2=CC=CC=C12;Enzymatic;97;NA;NA;NA;;;;;
QHM-0000795;CCCCN(CC1=C(C2=CC=CC=N2)N=C2C=C(C)C=CN12)C1=CC=C(F)C=C1;Enzymatic;106;NA;NA;NA;;;;;
QHM-0000780;O=C1CC2=NC=CC=C2CN1;Enzymatic;78;NA;NA;NA;;;;;
QHM-0000771;[O-][N+](=O)C1=CC=C(CN2C=C(C3=CC=CC=C3)N=N2)C=C1;Enzymatic;63;NA;NA;NA;;;;;
QHM-0000770;NC1=CC(C2=CN(C3=CC=C([N+]([O-])=O)C=C3)N=N2)=CC=C1;Enzymatic;80;NA;NA;NA;;;;;
QHM-0000768;[O-][N+](=O)C1=CC=C(N2C=C(C3=CC=C(COCC4=CC=CC=C4)C=C3)N=N2)C=C1;Enzymatic;97;NA;NA;NA;;;;;
QHM-0000766;[O-][N+](=O)C1=CC(N2C=C(C3=CC=C(COCC4=CC=CC=C4)C=C3)N=N2)=CC=C1;Enzymatic;79;NA;NA;NA;;;;;
QHM-0000765;COC1=CC=C(C2=CN(C3=CC=CC([N+]([O-])=O)=C3)N=N2)C=C1;Enzymatic;76;NA;NA;NA;;;;;
QHM-0000760;NC1=CC(C2=CN(CC3=CC=CC([N+]([O-])=O)=C3)N=N2)=CC=C1;Enzymatic;91;NA;NA;NA;;;;;
QHM-0000751;FC1=CC=C(NC(=O)NC2=CC(N3C=NN=N3)=CC=C2)C=C1;Enzymatic;122;NA;NA;NA;;;;;
QHM-0000749;FC(F)(F)C1=CC=CC(NC(=O)NC2=CC(N3C=NN=N3)=CC=C2)=C1;Enzymatic;71;NA;NA;NA;;;;;
QHM-0000726;CC(C)=CCC1=C(O[Si](C)(C)C(C)(C)C)CC2=CC=CC=C2C1=O;Enzymatic;77;NA;NA;NA;;;;;
QHM-0000714;CC1=CC=C(CN2CC3=CC(N)=CC=C3C2=O)C=C1;Enzymatic;102;NA;NA;NA;;;;;
QHM-0000712;[O-][N+](C1=CC=C2C(=C1)CN(C1=CC=C(Cl)C(F)=C1)C2=O)=O;Enzymatic;77;NA;NA;NA;;;;;
QHM-0000707;NC1=CC=C2C(=O)N(CCN3CCOCC3)CC2=C1;Enzymatic;93;NA;NA;NA;;;;;
QHM-0000625;CC(C)(Cl)C1=CN=NN1CC1=CC=C([N+]([O-])=O)C=C1;Enzymatic;116;NA;NA;NA;;;;;
QHM-0000622;CC(C)(O)C1=CN=NN1CC1=CC=C([N+]([O-])=O)C=C1;Enzymatic;113;NA;NA;NA;;;;;
QHM-0000619;NC1=CC(C2=CN=NN2CC2=CC=C([N+]([O-])=O)C=C2)=CC=C1;Enzymatic;165;NA;NA;NA;;;;;
QHM-0000618;[O-][N+](=O)C1=CC(N2C=NN=N2)=C(Cl)C=C1;Enzymatic;149;NA;NA;NA;;;;;
QHM-0000586;CCCCN(CC1=C(C2=CC=CC=C2)N=C2C=CC(C)=CN12)C1=CC=CC(C(F)(F)F)=C1;Enzymatic;118;NA;NA;NA;;;;;
