ID,SMILES,Screening,Enzyme activity (%),pIC50,pEC50,pCC50,Crystal structure,Tanimoto_brequinar,Tanimoto_teriflunomida,Tanimoto_H3D-003181,Tanimoto_QHM-0001063,Tanimoto_QHM-0000370,Tanimoto_QHM-0000001,Tanimoto_2D
QHM-0001015,C1=CC(C#CC2=CC=C3C(=C2)C(F)=NN3)=CC=C1NC(C)=O,Enzymatic,,"4,769551079",ND,ND,Y,0.4222222222222222,0.42,0.3559322033898305,0.5319148936170213,0.5263157894736842,0.15789473684210525,0.4186046511627907
QHM-0001014,C1=CC(C#CC2=CC=C3C(=C2)C=NN3)=CC=C1NC(C)=O,Enzymatic,,5,ND,ND,Y,0.3333333333333333,0.3673469387755102,0.3103448275862069,0.5813953488372093,0.5882352941176471,0.16981132075471697,0.32558139534883723
QHM-0001013,C1=CC(C#CC2=CC=C3C(=C2)N=CN3)=CC=C1NC(C)=O,Enzymatic,,"4,602059991",ND,ND,,0.35714285714285715,0.3617021276595745,0.35185185185185186,0.625,0.6451612903225806,0.18,0.35
QHM-0001012,C1=CC(C#CC2=CC=C(N)C(N)=C2)=CC=C1NC(C)=O,Enzymatic,,"5,301029996",ND,ND,Y,0.3,0.40476190476190477,0.4782608695652174,0.42857142857142855,0.84,0.2,0.225
QHM-0000945,NC1=CC(C#CC2=CC=CC=C2C(N)=O)=CC=C1,Enzymatic,"91,8",,,,,0.2894736842105263,0.4,0.4444444444444444,0.46153846153846156,0.8695652173913043,0.18604651162790697,0.24324324324324326
QHM-0000944,NC1=CC=C(C#CC2=CC=C(NC(C)=O)C=C2)C=C1,Enzymatic,,"4,978810701",ND,ND,Y,0.2631578947368421,0.4473684210526316,0.391304347826087,0.47368421052631576,1.0,0.16279069767441862,0.25
QHM-0000931,O=C(OC)NC1=CC=C(C#CC2=CC=CC=C2)C=C1,Enzymatic,30,,,,,0.34210526315789475,0.4146341463414634,0.3958333333333333,0.37209302325581395,0.6071428571428571,0.20454545454545456,0.3333333333333333
QHM-0000373,CS(=O)(=O)NC1=CC=CC(C#CC2=CC=CC([N+]([O-])=O)=C2)=C1,Enzymatic,"82,7",,,,,0.1746031746031746,0.24615384615384617,0.2676056338028169,0.22388059701492538,0.3076923076923077,0.13432835820895522,0.14516129032258066
QHM-0000372,NC1=CC=CC(C#CC2=CC=CC([N+]([O-])=O)=C2)=C1,Enzymatic,"93,3",,,,,0.21739130434782608,0.23529411764705882,0.2413793103448276,0.2549019607843137,0.42857142857142855,0.11538461538461539,0.20454545454545456
QHM-0000371,CC(=O)NC1=CC=C(C#CC2=CC(NS(C)(=O)=O)=CC=C2)C=C1,Enzymatic,"90,7",,,,,0.1864406779661017,0.3508771929824561,0.36507936507936506,0.3220338983050847,0.45454545454545453,0.18032786885245902,0.17543859649122806
QHM-0000370,CC(=O)NC1=CC=C(C#CC2=CC(N)=CC=C2)C=C1,Enzymatic,,"5,721246399","1,7",ND,Y,0.2631578947368421,0.4473684210526316,0.391304347826087,0.47368421052631576,1.0,0.16279069767441862,0.25
QHM-0001077,CC(NC1=CC=C(C#CC2=CC(N)=C(N)C(N)=C2)C=C1)=O,Enzymatic,,"3,982966661",ND,ND,,0.2857142857142857,0.4523809523809524,0.48936170212765956,0.4418604651162791,0.7777777777777778,0.19148936170212766,0.21428571428571427
QHM-0000892,[O-][N+](=O)C1=CC=CC(C(=O)NCCC2=CNC3=C2C=CC=C3)=C1,Enzymatic,53,,,,,0.25806451612903225,0.25,0.40298507462686567,0.36507936507936506,0.3333333333333333,0.19402985074626866,0.25
QHM-0000891,CS(=O)(=O)NC1=CC=CC(C(=O)NCCC2=CC=CC=C2)=C1,Enzymatic,129,,,,,0.16923076923076924,0.31746031746031744,0.4603174603174603,0.2923076923076923,0.37254901960784315,0.16417910447761194,0.15873015873015872
QHM-0000890,NC1=CC(C(=O)NCC2=CC=C(Br)C=C2)=CC=C1,Enzymatic,125,,,,,0.2857142857142857,0.4186046511627907,0.5217391304347826,0.4090909090909091,0.6551724137931034,0.14285714285714285,0.3076923076923077
QHM-0000889,NCC1=CC=C(C#N)C=C1,Enzymatic,115,,,,,0.1111111111111111,0.20512820512820512,0.24444444444444444,0.17073170731707318,0.3076923076923077,0.10526315789473684,0.12121212121212122
QHM-0000886,CNC(=O)C1=CC(NS(C)(=O)=O)=CC=C1,Enzymatic,110,,,,,0.15517241379310345,0.37037037037037035,0.3387096774193548,0.29310344827586204,0.38636363636363635,0.1694915254237288,0.14285714285714285
QHM-0000884,CS(=O)(=O)NC1=CC=CC(C(=O)NCC2CCCCC2)=C1,Enzymatic,88,,,,,0.14925373134328357,0.3125,0.3880597014925373,0.26865671641791045,0.33962264150943394,0.1791044776119403,0.13846153846153847
QHM-0000883,[O-][N+](=O)C1=CC=CC(C(=O)C2C=NC3=C2C=CC=C3)=C1,Enzymatic,135,,,,,0.32,0.23728813559322035,0.28125,0.32142857142857145,0.2765957446808511,0.23636363636363636,0.2857142857142857
QHM-0000880,F[C@H]1CCN(C(=O)NC2=CC3=NC(C4=CC=C(F)C(F)=C4)=CN3C=N2)C1,Enzymatic,102,,,,,0.3793103448275862,0.29850746268656714,0.391304347826087,0.4666666666666667,0.27586206896551724,0.15492957746478872,0.3508771929824561
QHM-0000850,COC(=O)C1=CC=C([N+]([O-])=O)C=C1CBr,Enzymatic,125,,,,,0.3,0.2413793103448276,0.32786885245901637,0.15873015873015872,0.22916666666666666,0.24074074074074073,0.21568627450980393
QHM-0000836,CC1=CC2=NC(C3=CC=C(F)C(F)=C3)=CN2C(C)=C1,Enzymatic,129,,,,,0.5526315789473685,0.17857142857142858,0.22950819672131148,0.34,0.20454545454545456,0.19607843137254902,0.47368421052631576
